"Item","Description","Quantity","Cost","BranchCost","Price"
"GRAPHICS CARD:MSI RX570 8GB ARMOR","MSI RADEON RX570 ARMOR 8G OC READY GDDR5X | 2 YEARS WARRANTY | 1  MONTH OUTRIGHT REPLACEMENT",0,14420.00,15285.2,16150.40
"GRAPHICS CARD:PALIT GTX1650 4GB GAMING PRO","PALIT GEFORCE GTX1650 GAMING PRO 4GB GDDR6 128 BIT  | 1 YEAR WARRANTY | 1WEEK OUTRIGHT REPLACEME...",0,7738.00,8357.04,9053.46
"GRAPHICS CARD:PALIT GTX1650 4GB STORM X","PALIT GEFORCE GTX1650 STORM X 4GB GDDR6 128 BIT | 1 YEAR WARRANTY | 1 WEEK OUTRIGHT REPLACEMENT ...",0,7313.00,7898.04,8556.21
"GRAPHICS CARD:POWERCOLOR RED DRAGON RX550 4GB","POWERCOLOR RED DRAGON PC AXRX550 4GBD5-DH I 4GB DDR5 I SINGLE FAN I 128BIT I 2 YEARS WARRANTY 1 ...",0,7918.00,8709.8,9105.70
"GRAPHICS CARD:RTX3070 ASUS TUF OC 8GB","ASUS TUF RTX3070 OC I 8GB GDDR6 I AURA SYNC I TRIPPLE FAN I 256BIT| RECOMMENDED PSU 750W | 1 YEA...",0,46731.00,54645.80,54645.80
"GRAPHICS CARD:RTX3070 GAMING OC 8GB GIGABYTE","GIGABYTE GV-N3070GAMING OC-8GD GEFORCE RTX 3070 GAMING OC 8GB PCIE 4.0 256BIT, 1815 MHZ CLOCK | ...",0,68400.00,78000.00,78000.00
"HDD:1TB SEAGATE BARRACUDA","SEAGATE 1TB ST1000DM010 BARACUDA 7200 SATA 3.5 HDD | 15 MOS WARRANTY | 1MONTH REPLACEMENT | NO B...",0,1961.00,2157.1,2647.35
"HDD:1TB TOSHIBA","TOSHIBA PC P300 1TB 7200RPM 84MB SATA",0,1859.00,2044.9,2509.65
"HDD:500GB HITACHI DISTRO","500 GB  HITACHI DESKTOP DISTRO 3.5 SATA  | 1 YEAR WARRANTY",0,1050.00,1155,1417.50
"HDD:500GB SEAGATE DISTRO","500GB SEAGATE DISTRO 3.5/ 7200RPM | 6 MONTHS WARRANTY",1,1150.00,1265,1552.50
"HDD:500GB SEAGATE PIPELINE","500GB SEAGATE ST3500414CS INTERNAL HDD PIPELINE | 3 MONTHS WARRANTY | 1 WEEK OUTRIGHT REPLACEMENT",2,603.00,663.3,862.29
"HDD:500GB WESTERN DIGITAL","500GB WD WD500AAJS 3.5 DISTRO SATA HDD 7200RPM | 6 MONTHS WARRANTY",0,990.00,1089,1386.00
"HDD:500GB WESTERN DIGITAL GREEN","500GB WD WD5000AUDX | 5900 RPM 32 MB 3.5 SATA  |3 MONTHS WARRANTY | 1 3 DAYS OUTRIGHT REPLACEMENT",23,682.00,723.8,940.94
"HEADPHONES:A4TECH HEADSET HS-28","A4TECH HEADSET HS-28 COMFORT FIT BLACK",0,409.00,449.9,593.05
"HEADPHONES:A4TECH HEADSET HS-7P","A4TECH HEADSET HS-7P COMFORT FIT STEREO HEADSET JACK PLUG",0,365.00,401.5,547.50
"HEADPHONES:INPLAY H2","INPLAY H2 RGB HEADSET | 3 MONTHS WARRANTY ONLY",2,157.00,172.7,235.50
